Codigo,Data_Inicio,Data_Fim,Ato_Legal,Numero,Ano,IBS,CBS
1,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
101,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1012,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1012100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1012900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1013000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1019000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
102,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10221,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022110,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10229,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
102291,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022911,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022919,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1022990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10231,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023110,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10239,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
102391,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023911,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023919,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1023990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1029000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
103,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1031000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1039,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1039100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1039200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
104,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10410,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
104101,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1041011,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1041019,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1041090,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10420,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1042010,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1042090,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
105,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1051,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
10511,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1051110,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1051190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
1051200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
